ts_iso,timestamp_ms,spot_id,lat,lon,accuracy,ua,ref,href,party_size
2025-12-25T08:44:37+09:00,1766619874905,tourist-information-center,34.88288288,138.3327172,2000,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,https://www.visionservice.io/tourist-information-center,2
2025-12-25T11:08:43+09:00,1766628523077,sakana-center,34.8802498,138.303915,25.84199905,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,https://www.visionservice.io/sakana-center-1,2
2025-12-25T12:02:02+09:00,1766631720635,sakana-center,34.8805371,138.3030766,4.74865153,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Mobile/15E148 Safari/604.1",,https://www.visionservice.io/sakana-center-1,2
2025-12-25T12:50:53+09:00,1766634651958,sakana-center,34.88001453,138.303686,31.95785346,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,https://www.visionservice.io/sakana-center-1,3-5
2025-12-25T12:52:30+09:00,1766634747830,sakana-center,34.87990685,138.3040387,8.658782436,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,https://www.visionservice.io/sakana-center-1,3-5
2025-12-25T15:16:50+09:00,1766643409003,tourist-information-center,34.87168095,138.3187795,25.99932435,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Mobile/15E148 Safari/604.1",,https://www.visionservice.io/tourist-information-center,1
2025-12-25T15:17:06+09:00,1766643424561,tourist-information-center,34.87059197,138.3201671,1414.000052,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",,https://www.visionservice.io/tourist-information-center,1
2025-12-25T15:17:19+09:00,1766643437585,tourist-information-center,34.87169342,138.3188863,31.7258878,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Mobile/15E148 Safari/604.1",,https://www.visionservice.io/tourist-information-center,1
2025-12-25T15:17:41+09:00,1766643458765,tourist-information-center,34.87182459,138.3187281,7.177232543,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Mobile/15E148 Safari/604.1",,https://www.visionservice.io/tourist-information-center,1
2025-12-26T09:22:30+09:00,1766708549309,tourist-information-center,34.871858,138.318633,100,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0",https://www.yaizu.gr.jp/,https://www.visionservice.io/tourist-information-center,2
2025-12-26T11:18:03+09:00,1766715482295,tourist-information-center,35.6613415,139.7570068,14.34399986,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,https://www.visionservice.io/tourist-information-center,1
2025-12-26T11:32:28+09:00,1766716345898,tourist-information-center,34.86733823,138.3230839,34.6469585,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,https://www.visionservice.io/tourist-information-center,1
2025-12-26T16:39:02+09:00,1766734740807,tourist-information-center,34.86734934,138.3230429,30.82465315,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Mobile/15E148 Safari/604.1",,https://www.visionservice.io/tourist-information-center,2
2025-12-26T16:39:03+09:00,1766734741850,tourist-information-center,34.8673381,138.3230046,23.92796407,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Mobile/15E148 Safari/604.1",,https://www.visionservice.io/tourist-information-center,2
2025-12-27T10:41:52+09:00,1766799709483,tourist-information-center,34.87181959,138.3187069,12.57593653,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Mobile/15E148 Safari/604.1",,https://www.visionservice.io/tourist-information-center,1
2025-12-27T11:51:42+09:00,1766803901740,sakana-center,34.8796759,138.3035814,36.90000153,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",,https://www.visionservice.io/sakana-center-1,1
